Model,Gamma,Lamb,s0h,H,M,k,Sb,Added,CV2D,Strain
Deg,0.8103168616,1,0,0,85,82.6553840637,0.3,1.2702413229,0.01555391,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,0.4071428571,1.2027114133,0.0164599712,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,0.5142857143,1.1460661555,0.0170453223,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,0.6214285714,1.0987013021,0.0173611782,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,0.7285714286,1.0590398181,0.0174720515,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,0.8357142857,1.0256805677,0.0174378991,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,0.9428571429,0.9974462357,0.0173069804,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,1.05,0.973377601,0.0171150705,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,1.1571428571,0.9527054899,0.0168873514,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,1.2642857143,0.934817284,0.0166409269,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,1.3714285714,0.9192255805,0.0163870922,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,1.4785714286,0.9055416488,0.0161331094,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,1.5857142857,0.893454031,0.0158835024,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,1.6928571429,0.8827117212,0.0156409638,Str5
Deg,0.8103168616,1,0,0,85,82.6553840637,1.8,0.8731111122,0.0154069782,Str5
Comm,0,1,1.2,1,41,51.6246566772,0.3,1.2958037485,0.0132728805,Str4
Comm,0,1,1.2,1,41,51.6246566772,0.4071428571,1.2312162511,0.0143605085,Str4
Comm,0,1,1.2,1,41,51.6246566772,0.5142857143,1.1753294702,0.0153377879,Str4
Comm,0,1,1.2,1,41,51.6246566772,0.6214285714,1.126734598,0.0162057718,Str4
Comm,0,1,1.2,1,41,51.6246566772,0.7285714286,1.0842653897,0.016970144,Str4
Comm,0,1,1.2,1,41,51.6246566772,0.8357142857,1.0469585249,0.0176391852,Str4
Comm,0,1,1.2,1,41,51.6246566772,0.9428571429,1.0140188432,0.0182223,Str4
Comm,0,1,1.2,1,41,51.6246566772,1.05,0.9847895217,0.0187290474,Str4
Comm,0,1,1.2,1,41,51.6246566772,1.1571428571,0.9587269893,0.0191685597,Str4
Comm,0,1,1.2,1,41,51.6246566772,1.2642857143,0.9353801464,0.0195492354,Str4
Comm,0,1,1.2,1,41,51.6246566772,1.3714285714,0.9143733401,0.0198786097,Str4
Comm,0,1,1.2,1,41,51.6246566772,1.4785714286,0.8953925171,0.020163334,Str4
Comm,0,1,1.2,1,41,51.6246566772,1.5857142857,0.8781740109,0.0204092166,Str4
Comm,0,1,1.2,1,41,51.6246566772,1.6928571429,0.8624954807,0.0206212944,Str4
Comm,0,1,1.2,1,41,51.6246566772,1.8,0.8481685903,0.0208039162,Str4
Pow,0,1.54,0,0,39,21.8842964172,0.3,1.2940808384,0.0138350582,Str4
Pow,0,1.54,0,0,39,21.8842964172,0.4071428571,1.2341780476,0.0147223289,Str4
Pow,0,1.54,0,0,39,21.8842964172,0.5142857143,1.180640934,0.0155200812,Str4
Pow,0,1.54,0,0,39,21.8842964172,0.6214285714,1.1324375267,0.0162365346,Str4
Pow,0,1.54,0,0,39,21.8842964172,0.7285714286,1.0887797123,0.0168790388,Str4
Pow,0,1.54,0,0,39,21.8842964172,0.8357142857,1.0490405551,0.0174544465,Str4
Pow,0,1.54,0,0,39,21.8842964172,0.9428571429,1.0127086722,0.0179691698,Str4
Pow,0,1.54,0,0,39,21.8842964172,1.05,0.9793598866,0.0184291589,Str4
Pow,0,1.54,0,0,39,21.8842964172,1.1571428571,0.948638091,0.0188398782,Str4
Pow,0,1.54,0,0,39,21.8842964172,1.2642857143,0.9202415524,0.0192062991,Str4
Pow,0,1.54,0,0,39,21.8842964172,1.3714285714,0.8939126944,0.0195329089,Str4
Pow,0,1.54,0,0,39,21.8842964172,1.4785714286,0.8694302431,0.0198237345,Str4
Pow,0,1.54,0,0,39,21.8842964172,1.5857142857,0.8466030594,0.020082373,Str4
Pow,0,1.54,0,0,39,21.8842964172,1.6928571429,0.8252652156,0.0203120281,Str4
Pow,0,1.54,0,0,39,21.8842964172,1.8,0.8052720166,0.0205155472,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,0.3,1.3708880767,0.0161993685,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,0.4071428571,1.2901856689,0.017514031,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,0.5142857143,1.2200359785,0.0185073034,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,0.6214285714,1.1598469998,0.0191662352,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,0.7285714286,1.1085695397,0.0195275843,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,0.8357142857,1.0649851872,0.0196514154,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,0.9428571429,1.0278954307,0.0196005279,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,1.05,0.9962197994,0.0194294687,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,1.1571428571,0.969031568,0.0191809339,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,1.2642857143,0.9455583811,0.0188862065,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,1.3714285714,0.9251666708,0.0185671759,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,1.4785714286,0.9073407314,0.0182386184,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,1.5857142857,0.8916618629,0.017910186,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,1.6928571429,0.8777898539,0.017587957,Str4
Deg,1.0397207708,1,0,0,83,85.8160438538,1.8,0.8654474587,0.017275573,Str4
Comm,0,1,1.2,0.85,24,34.5271492004,0.3,1.1454395918,0.0249408771,Str3
